,Lat,Lon,District,Small_district,Rooms,Price,Price_duplicate,Totsp,Livesp,Kitsp,Dist,Stname,Metrdist,Walk,Brick,Tel,Bal,Floor,Nfloors,New,Link
2245,55.886857,37.691656,2,Лосиноостровский,2,7500000,7500000.0,48.0,,32.0,1040.91498591,Медведково,15,1,1,1,1,12,14,0,http://www.cian.ru/sale/flat/47678137/
2246,55.775175,37.820241,3,,3,7700000,7700000.0,65.0,,46.6,151.047128052,Первомайская,5,0,,0,1,4,16,0,http://www.cian.ru/sale/flat/149429952/
2247,55.880101,37.55452,1,Восточное Дегунино,1,4500000,4500000.0,32.0,6.1,19.0,986.271492642,Петровско-Разумовская,10,0,0,0,0,4,9,0,http://www.cian.ru/sale/flat/148435218/
2248,55.79434,37.815696,3,Восточное Измайлово,2,9100000,9100000.0,51.0,10.2,29.4,301.633532116,Первомайская,16,1,1,0,1,8,10,0,http://www.cian.ru/sale/flat/148434933/
2249,55.697559,37.787462,4,Кузьминки,1,5000000,5000000.0,33.0,,20.0,449.014266225,Кузьминки,20,1,1,1,1,6,12,0,http://www.cian.ru/sale/flat/145317921/
2250,55.564394,37.581227,6,Северное Бутово,1,6800000,6800000.0,38.8,8.8,20.3,1437.98974307,Бульвар Дмитрия Донского,7,1,0,0,0,1,17,0,http://www.cian.ru/sale/flat/149706252/
2251,55.724636,37.581748,0,Хамовники,3,14200000,14200000.0,55.0,,37.6,241.519033088,Фрунзенская,4,1,1,1,0,1,8,0,http://www.cian.ru/sale/flat/37076788/
2252,55.543531,37.563646,6,Южное Бутово,2,7100000,7100000.0,58.6,11.0,27.0,1587.81824014,Улица Скобелевская,10,1,0,0,1,14,14,0,http://www.cian.ru/sale/flat/151523502/
2253,55.731075,37.64348,0,,2,18533894,18533894.0,57.7,,,191.879885976,Павелецкая,5,1,,0,0,4,7,1,http://www.cian.ru/sale/flat/48903171/
2254,55.803211,37.77175,3,Северное Измайлово,2,6650000,6650000.0,43.2,,26.0,371.645125254,Щелковская,10,0,1,1,1,4,5,0,http://www.cian.ru/sale/flat/150670581/
2255,55.46584,36.944824,10,,2,3750000,3750000.0,43.0,,30.0,2132.39340887,Саларьево,30,0,,1,1,3,5,0,http://www.cian.ru/sale/flat/151146250/
2256,55.777084,37.825326,3,Ивановское,2,5300000,5300000.0,44.6,6.3,28.0,166.005424398,Новогиреево,8,0,0,1,0,4,9,0,http://www.cian.ru/sale/flat/151310299/
2257,55.703309,37.937965,4,,3,6986500,6986500.0,78.5,,,405.121449758,Выхино,15,0,,0,1,25,25,1,http://www.cian.ru/sale/flat/151233215/
2258,55.680559,37.549246,6,Ломоносовский,1,8300000,8300000.0,38.0,,18.0,578.236724181,Университет,15,0,1,1,1,4,14,0,http://www.cian.ru/sale/flat/149394070/
2259,55.49801,37.304644,10,Троицк,3,7000000,7000000.0,68.5,8.4,42.8,1909.52046176,Теплый Стан,25,0,0,0,1,5,5,0,http://www.cian.ru/sale/flat/151533468/
2260,55.579811,37.67131,5,,1,6144353,6144353.0,42.9,,,1326.33860357,Царицыно,20,0,,0,0,21,45,1,http://www.cian.ru/sale/flat/151362275/
2261,55.792306,37.796041,3,Измайлово,1,7100000,7100000.0,37.0,9.8,20.0,285.60815322,Первомайская,3,1,1,1,1,8,16,0,http://www.cian.ru/sale/flat/149561229/
